ThoiGian,MucNuocA(cm),MucNuocB(cm),LuuLuong(m3/s),TrangThai,ThongBao
15:17:20 23/10/2025,44.4,7.2,28.72,"Bình thường","An toàn"
15:17:25 23/10/2025,21.2,11.7,35.16,"Bình thường","An toàn"
15:17:30 23/10/2025,81.7,22.6,14.04,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:17:35 23/10/2025,77.6,58.2,40.89,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:17:40 23/10/2025,15.2,59.9,18.69,"Bình thường","An toàn"
15:17:45 23/10/2025,83.2,85.6,13.81,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:17:50 23/10/2025,71.1,93.5,19.23,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:17:55 23/10/2025,43.6,70.9,20.02,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:18:00 23/10/2025,46.0,71.1,40.11,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:18:05 23/10/2025,55.2,19.6,10.51,"Bình thường","An toàn"
15:18:10 23/10/2025,95.3,5.4,15.83,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:18:15 23/10/2025,29.9,36.1,12.01,"Bình thường","An toàn"
15:18:20 23/10/2025,35.7,89.8,3.61,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:18:25 23/10/2025,28.2,28.0,46.83,"Bình thường","An toàn"
15:18:30 23/10/2025,62.5,66.9,48.25,"Bình thường","An toàn"
15:18:35 23/10/2025,73.4,23.7,6.51,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:18:40 23/10/2025,17.6,84.9,2.09,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:18:45 23/10/2025,41.7,58.2,6.89,"Bình thường","An toàn"
15:18:50 23/10/2025,16.5,47.4,46.63,"Bình thường","An toàn"
15:18:55 23/10/2025,33.3,34.5,32.53,"Bình thường","An toàn"
15:19:00 23/10/2025,4.2,89.8,47.92,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:19:05 23/10/2025,20.3,67.1,2.78,"Bình thường","An toàn"
15:19:10 23/10/2025,8.0,94.5,44.71,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:19:15 23/10/2025,29.7,56.9,17.64,"Bình thường","An toàn"
15:19:20 23/10/2025,35.6,12.5,39.54,"Bình thường","An toàn"
15:19:25 23/10/2025,6.9,22.3,0.73,"Bình thường","An toàn"
15:19:30 23/10/2025,28.0,88.8,48.19,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:19:35 23/10/2025,40.4,18.4,27.77,"Bình thường","An toàn"
15:19:40 23/10/2025,73.4,29.2,19.24,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:19:45 23/10/2025,45.4,27.7,17.48,"Bình thường","An toàn"
15:19:50 23/10/2025,52.6,62.7,22.69,"Bình thường","An toàn"
15:19:55 23/10/2025,61.9,50.2,1.60,"Bình thường","An toàn"
15:20:00 23/10/2025,99.4,57.4,0.81,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:20:05 23/10/2025,53.5,72.6,6.95,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:20:10 23/10/2025,28.0,68.3,35.35,"Bình thường","An toàn"
15:20:15 23/10/2025,20.6,90.7,35.69,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:20:20 23/10/2025,89.6,15.8,34.33,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:20:25 23/10/2025,48.8,72.4,35.35,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:20:30 23/10/2025,52.4,94.2,31.16,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:20:35 23/10/2025,76.9,75.7,26.16,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:20:40 23/10/2025,61.2,28.9,39.92,"Bình thường","An toàn"
15:20:45 23/10/2025,64.6,59.9,16.17,"Bình thường","An toàn"
15:20:50 23/10/2025,27.3,98.2,20.38,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:20:55 23/10/2025,37.5,21.7,33.00,"Bình thường","An toàn"
15:21:00 23/10/2025,78.4,11.5,2.87,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:21:05 23/10/2025,19.3,99.2,42.36,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:21:10 23/10/2025,8.9,46.0,29.39,"Bình thường","An toàn"
15:21:15 23/10/2025,45.4,61.5,16.65,"Bình thường","An toàn"
15:21:20 23/10/2025,46.1,61.9,28.30,"Bình thường","An toàn"
15:21:25 23/10/2025,3.7,67.7,16.67,"Bình thường","An toàn"
15:21:30 23/10/2025,57.9,69.0,29.87,"Bình thường","An toàn"
15:21:35 23/10/2025,15.2,62.3,11.23,"Bình thường","An toàn"
15:21:40 23/10/2025,92.3,86.9,45.22,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:21:45 23/10/2025,10.7,28.3,9.26,"Bình thường","An toàn"
15:21:50 23/10/2025,59.9,54.3,33.85,"Bình thường","An toàn"
15:21:55 23/10/2025,74.6,76.4,30.64,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:22:00 23/10/2025,84.4,13.7,0.69,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:22:05 23/10/2025,21.6,97.9,16.12,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:22:10 23/10/2025,3.0,55.4,29.48,"Bình thường","An toàn"
15:22:15 23/10/2025,24.7,17.7,36.49,"Bình thường","An toàn"
15:22:20 23/10/2025,15.2,80.3,49.31,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:22:25 23/10/2025,27.1,48.4,22.90,"Bình thường","An toàn"
15:22:30 23/10/2025,95.3,69.5,27.89,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:22:35 23/10/2025,96.1,32.5,37.44,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:22:40 23/10/2025,83.3,17.8,34.29,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:22:45 23/10/2025,55.3,54.7,5.01,"Bình thường","An toàn"
15:22:50 23/10/2025,59.1,15.5,45.57,"Bình thường","An toàn"
15:22:55 23/10/2025,84.9,13.2,28.52,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:31:45 23/10/2025,4.4,10.2,40.58,"Bình thường","An toàn"
15:31:50 23/10/2025,45.0,9.3,49.79,"Bình thường","An toàn"
15:31:55 23/10/2025,95.0,85.0,7.36,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:32:00 23/10/2025,20.5,34.1,46.40,"Bình thường","An toàn"
15:32:05 23/10/2025,23.6,91.6,11.63,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:32:10 23/10/2025,33.0,74.8,2.53,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:32:15 23/10/2025,89.6,97.5,0.19,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:32:20 23/10/2025,67.7,97.7,40.56,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:32:25 23/10/2025,12.7,48.7,21.70,"Bình thường","An toàn"
15:32:30 23/10/2025,86.6,66.6,36.69,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:32:35 23/10/2025,8.2,19.5,32.36,"Bình thường","An toàn"
15:32:40 23/10/2025,17.9,61.1,34.23,"Bình thường","An toàn"
15:32:45 23/10/2025,13.6,12.3,43.43,"Bình thường","An toàn"
15:32:50 23/10/2025,42.0,61.1,12.45,"Bình thường","An toàn"
15:32:55 23/10/2025,2.7,3.1,7.54,"Bình thường","An toàn"
15:33:00 23/10/2025,50.8,38.8,14.92,"Bình thường","An toàn"
15:33:05 23/10/2025,46.9,20.2,12.14,"Bình thường","An toàn"
15:33:10 23/10/2025,46.3,39.5,9.79,"Bình thường","An toàn"
15:33:15 23/10/2025,19.3,79.9,35.76,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:33:20 23/10/2025,59.7,44.0,46.43,"Bình thường","An toàn"
15:33:25 23/10/2025,18.9,23.6,27.62,"Bình thường","An toàn"
15:33:30 23/10/2025,89.3,76.4,22.41,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:33:35 23/10/2025,17.2,75.7,5.57,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:33:40 23/10/2025,4.8,1.2,49.75,"Bình thường","An toàn"
15:33:45 23/10/2025,80.9,37.3,2.69,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:33:50 23/10/2025,32.7,76.9,13.22,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:33:55 23/10/2025,22.5,10.7,16.32,"Bình thường","An toàn"
15:34:00 23/10/2025,69.3,47.3,21.61,"Bình thường","An toàn"
15:34:05 23/10/2025,51.5,86.4,12.60,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:34:10 23/10/2025,57.0,64.0,13.44,"Bình thường","An toàn"
15:34:15 23/10/2025,68.8,44.5,41.87,"Bình thường","An toàn"
15:34:20 23/10/2025,85.6,33.7,8.68,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:34:25 23/10/2025,15.0,6.7,32.09,"Bình thường","An toàn"
15:34:30 23/10/2025,94.4,71.4,29.19,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:34:35 23/10/2025,28.1,69.8,45.32,"Bình thường","An toàn"
15:34:40 23/10/2025,67.6,36.9,23.90,"Bình thường","An toàn"
15:34:45 23/10/2025,30.5,38.6,1.11,"Bình thường","An toàn"
15:34:50 23/10/2025,57.2,77.6,10.95,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:34:55 23/10/2025,20.2,4.1,16.05,"Bình thường","An toàn"
15:35:00 23/10/2025,4.9,94.2,37.91,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:35:05 23/10/2025,22.1,40.1,16.03,"Bình thường","An toàn"
15:35:10 23/10/2025,31.9,43.2,14.52,"Bình thường","An toàn"
15:35:15 23/10/2025,50.8,28.5,48.16,"Bình thường","An toàn"
15:35:20 23/10/2025,74.2,45.3,40.76,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:35:25 23/10/2025,49.6,8.5,47.26,"Bình thường","An toàn"
15:35:30 23/10/2025,77.3,39.6,24.77,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:35:35 23/10/2025,5.8,91.7,26.72,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:35:40 23/10/2025,12.2,0.3,34.92,"Bình thường","An toàn"
15:35:45 23/10/2025,44.5,58.3,43.37,"Bình thường","An toàn"
15:35:50 23/10/2025,57.6,69.1,13.99,"Bình thường","An toàn"
15:35:55 23/10/2025,34.7,73.5,4.71,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:36:00 23/10/2025,36.9,3.2,10.87,"Bình thường","An toàn"
15:36:05 23/10/2025,63.4,66.9,34.59,"Bình thường","An toàn"
15:36:10 23/10/2025,42.1,15.3,43.96,"Bình thường","An toàn"
15:36:15 23/10/2025,59.2,78.3,41.64,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:36:20 23/10/2025,82.9,22.8,15.42,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:36:25 23/10/2025,19.5,60.8,13.35,"Bình thường","An toàn"
15:36:30 23/10/2025,19.2,41.8,9.76,"Bình thường","An toàn"
15:36:35 23/10/2025,77.2,94.4,26.16,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:36:40 23/10/2025,59.6,96.7,23.22,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:36:45 23/10/2025,30.0,74.8,9.24,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:36:50 23/10/2025,75.0,99.0,36.55,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:36:55 23/10/2025,9.5,72.1,26.93,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:37:00 23/10/2025,88.5,96.5,6.57,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:37:05 23/10/2025,77.4,90.1,7.14,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:37:10 23/10/2025,94.3,62.7,29.07,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:37:15 23/10/2025,17.9,16.1,9.22,"Bình thường","An toàn"
15:37:20 23/10/2025,59.4,84.6,13.76,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:37:25 23/10/2025,99.9,94.9,15.99,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:37:30 23/10/2025,35.1,88.8,37.47,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:37:35 23/10/2025,0.9,65.8,33.01,"Bình thường","An toàn"
15:37:40 23/10/2025,21.8,6.2,44.17,"Bình thường","An toàn"
15:37:45 23/10/2025,96.5,60.8,12.88,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:37:50 23/10/2025,48.7,21.0,9.19,"Bình thường","An toàn"
15:37:55 23/10/2025,79.8,29.8,6.87,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:38:00 23/10/2025,8.4,60.2,7.24,"Bình thường","An toàn"
15:38:05 23/10/2025,42.1,95.1,7.87,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:38:10 23/10/2025,11.2,8.8,31.22,"Bình thường","An toàn"
15:38:15 23/10/2025,53.5,90.2,45.10,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:38:20 23/10/2025,63.0,73.1,30.86,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:38:25 23/10/2025,17.6,27.1,42.27,"Bình thường","An toàn"
15:38:30 23/10/2025,17.6,72.0,46.99,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:38:35 23/10/2025,50.1,99.0,40.74,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:38:40 23/10/2025,38.8,97.8,27.69,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:38:45 23/10/2025,21.0,32.3,2.83,"Bình thường","An toàn"
15:38:50 23/10/2025,64.3,54.1,48.49,"Bình thường","An toàn"
15:38:55 23/10/2025,4.7,6.2,30.45,"Bình thường","An toàn"
15:39:00 23/10/2025,3.6,39.6,48.58,"Bình thường","An toàn"
15:39:05 23/10/2025,76.0,35.4,37.08,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:39:10 23/10/2025,68.3,44.6,10.22,"Bình thường","An toàn"
15:39:15 23/10/2025,82.4,96.2,39.92,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:39:20 23/10/2025,42.1,56.8,14.94,"Bình thường","An toàn"
15:39:25 23/10/2025,1.5,13.3,12.40,"Bình thường","An toàn"
15:39:30 23/10/2025,53.0,0.2,13.75,"Bình thường","An toàn"
15:39:35 23/10/2025,54.2,78.2,49.19,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:39:40 23/10/2025,96.1,64.1,47.72,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:39:46 23/10/2025,55.7,11.7,16.21,"Bình thường","An toàn"
15:39:51 23/10/2025,42.4,19.8,21.60,"Bình thường","An toàn"
15:39:56 23/10/2025,64.6,7.2,29.77,"Bình thường","An toàn"
15:40:01 23/10/2025,10.8,83.0,9.50,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:40:06 23/10/2025,96.2,68.3,23.26,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:40:11 23/10/2025,3.1,71.5,18.64,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:40:16 23/10/2025,16.0,84.0,37.95,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:40:21 23/10/2025,90.0,33.4,10.45,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:40:26 23/10/2025,2.1,21.4,14.59,"Bình thường","An toàn"
15:40:31 23/10/2025,13.5,1.2,47.08,"Bình thường","An toàn"
15:40:36 23/10/2025,76.7,24.7,8.32,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:40:41 23/10/2025,9.0,6.3,29.62,"Bình thường","An toàn"
15:40:46 23/10/2025,19.4,56.4,27.20,"Bình thường","An toàn"
15:40:51 23/10/2025,26.1,14.0,15.37,"Bình thường","An toàn"
15:40:56 23/10/2025,39.3,75.4,46.47,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:41:01 23/10/2025,45.7,66.3,13.78,"Bình thường","An toàn"
15:41:06 23/10/2025,5.5,95.9,48.14,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:41:11 23/10/2025,53.0,66.5,20.83,"Bình thường","An toàn"
15:41:16 23/10/2025,47.3,76.8,1.45,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:41:21 23/10/2025,56.6,74.0,15.02,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:41:26 23/10/2025,70.1,85.3,47.88,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:41:31 23/10/2025,41.7,80.7,17.29,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:41:36 23/10/2025,16.5,7.4,28.38,"Bình thường","An toàn"
15:41:41 23/10/2025,56.6,38.9,48.33,"Bình thường","An toàn"
15:41:46 23/10/2025,32.4,41.4,28.74,"Bình thường","An toàn"
15:41:51 23/10/2025,34.4,71.8,17.78,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:41:56 23/10/2025,0.6,72.9,43.61,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:42:01 23/10/2025,61.0,22.9,33.95,"Bình thường","An toàn"
15:42:06 23/10/2025,27.2,50.3,21.76,"Bình thường","An toàn"
15:42:11 23/10/2025,69.2,95.1,49.06,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:42:16 23/10/2025,14.6,30.6,1.70,"Bình thường","An toàn"
15:42:21 23/10/2025,30.9,90.9,41.64,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:42:26 23/10/2025,8.0,99.4,29.26,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:42:31 23/10/2025,31.0,92.8,47.61,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:42:36 23/10/2025,85.7,58.9,15.65,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:42:41 23/10/2025,43.8,3.0,0.74,"Bình thường","An toàn"
15:42:46 23/10/2025,6.9,38.0,49.77,"Bình thường","An toàn"
15:42:51 23/10/2025,60.4,53.2,15.16,"Bình thường","An toàn"
15:42:56 23/10/2025,30.0,48.3,23.86,"Bình thường","An toàn"
15:43:01 23/10/2025,55.4,53.5,22.34,"Bình thường","An toàn"
15:43:06 23/10/2025,27.7,51.3,2.51,"Bình thường","An toàn"
15:43:11 23/10/2025,61.1,58.2,2.47,"Bình thường","An toàn"
15:43:16 23/10/2025,33.0,95.7,28.25,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:43:21 23/10/2025,88.4,17.7,24.40,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:43:26 23/10/2025,59.0,49.2,39.40,"Bình thường","An toàn"
15:43:31 23/10/2025,58.2,67.1,1.81,"Bình thường","An toàn"
15:43:36 23/10/2025,43.8,37.9,14.40,"Bình thường","An toàn"
15:43:41 23/10/2025,38.3,60.2,30.92,"Bình thường","An toàn"
15:43:46 23/10/2025,49.0,30.3,4.46,"Bình thường","An toàn"
15:43:51 23/10/2025,28.5,90.9,7.28,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:43:56 23/10/2025,19.8,54.0,47.52,"Bình thường","An toàn"
15:44:01 23/10/2025,54.3,1.4,16.95,"Bình thường","An toàn"
15:44:06 23/10/2025,94.7,79.5,18.35,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:44:11 23/10/2025,99.5,33.6,49.07,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:44:16 23/10/2025,68.3,12.9,48.87,"Bình thường","An toàn"
15:44:21 23/10/2025,5.2,39.4,4.14,"Bình thường","An toàn"
15:44:26 23/10/2025,86.7,16.7,11.46,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:44:31 23/10/2025,20.7,32.1,2.44,"Bình thường","An toàn"
15:44:36 23/10/2025,74.2,22.5,36.43,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:44:41 23/10/2025,43.7,84.4,44.57,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:44:46 23/10/2025,22.6,52.7,10.24,"Bình thường","An toàn"
15:44:51 23/10/2025,70.6,89.9,24.31,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:44:56 23/10/2025,69.0,7.7,6.53,"Bình thường","An toàn"
15:45:01 23/10/2025,36.5,40.6,14.53,"Bình thường","An toàn"
15:45:06 23/10/2025,44.3,40.3,23.51,"Bình thường","An toàn"
15:45:11 23/10/2025,53.7,63.5,15.51,"Bình thường","An toàn"
15:45:16 23/10/2025,47.7,1.2,33.99,"Bình thường","An toàn"
15:45:21 23/10/2025,82.6,79.9,44.03,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:45:26 23/10/2025,74.0,35.3,37.25,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:45:31 23/10/2025,67.3,70.2,15.01,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:45:36 23/10/2025,61.6,43.0,36.18,"Bình thường","An toàn"
